;Unnamed: 0;CLIENTNUM;Total_Trans_Amt;Total_Amt_Chng_Q4_Q1;Total_Ct_Chng_Q4_Q1;Total_Trans_Ct;Total_Revolving_Bal;Attrition_Flag
98;98;802013583;1158;0.576;0.727;19;2250;0
99;99;711887583;836;0.696;0.385;18;1628;1
100;100;714778833;1289;0.619;1.0;22;1960;0
101;101;713843283;1487;1.034;0.733;26;2053;0
102;102;779155158;1259;0.562;0.5;33;1264;0
103;103;721091583;1298;0.788;1.5;15;1879;0
104;104;713572683;1226;0.883;0.789;34;0;0
105;105;716657058;1566;0.762;0.542;37;926;0
106;106;779509983;1022;0.828;1.1;21;931;0
107;107;717929133;1235;1.283;0.667;30;2440;0
108;108;808284783;1951;0.813;1.095;44;0;0
109;109;708476808;1047;0.618;0.824;31;1960;0
110;110;710916408;1342;0.56;0.391;32;1886;0
111;111;708492558;1107;0.939;1.625;21;865;0
112;112;799825758;1251;0.588;0.346;35;1674;0
113;113;718619883;1305;1.674;3.0;24;706;0
114;114;711844758;1388;0.791;1.056;37;1294;0
115;115;714798783;1235;1.826;1.571;18;895;0
116;116;826762908;2089;1.024;1.118;36;1273;0
117;117;771894558;1626;1.873;0.786;25;1559;0
118;118;721074183;1111;0.712;1.0;24;1196;0
119;119;715259583;1553;0.816;1.0;38;1901;0
120;120;718414008;1064;1.004;0.625;13;1023;0
121;121;719666283;1243;0.766;0.611;29;1951;0
122;122;714877233;1659;1.584;1.533;38;1836;0
123;123;785387883;1594;0.566;0.382;47;1540;0
124;124;771075258;1268;0.526;0.355;42;1527;0
125;125;711318033;1304;0.676;0.846;24;0;0
126;126;783554958;1368;0.567;0.364;30;0;0
127;127;720201033;720;0.622;0.353;23;2227;1
128;128;718039683;1521;0.846;1.417;29;1300;0
129;129;710806083;1137;0.7;0.765;30;2090;0
130;130;714752208;978;0.788;0.778;16;1985;0
131;131;822063408;1221;0.632;2.2;16;2517;0
132;132;714490308;1565;1.186;1.545;28;1662;0
133;133;713356833;1578;1.541;0.7;34;2517;0
134;134;711402333;1493;0.541;1.0;32;797;0
135;135;708296883;1178;0.688;0.929;27;788;0
136;136;719154483;991;0.839;0.733;26;2100;0
137;137;717721458;2560;1.689;1.211;42;1186;0
138;138;711112683;1657;1.236;1.231;29;1568;0
139;139;715674483;1204;0.939;0.727;19;2517;0
140;140;789322833;673;0.654;0.8;18;0;1
141;141;789968058;1131;0.649;0.636;18;2327;0
142;142;709919283;1576;1.996;1.5;25;2517;0
143;143;718744008;1217;0.397;0.667;20;1128;0
144;144;767712558;530;0.71;1.0;10;0;1
145;145;712950783;739;0.76;0.455;16;0;1
146;146;716104983;1617;1.162;2.875;31;2117;0
147;147;818839983;1592;1.317;1.0;34;1536;0
148;148;772288758;1343;0.728;1.308;30;1228;0
149;149;712350858;1303;0.572;0.625;39;1104;0
150;150;711009708;1351;1.047;0.467;22;0;0
151;151;712720158;1910;1.255;1.909;32;1652;0
152;152;712215258;1298;0.868;0.571;22;0;0
153;153;773827008;1087;0.469;1.231;29;1540;0
154;154;795232683;1439;2.121;1.364;26;930;0
155;155;713786508;1238;0.786;0.75;28;0;0
156;156;713539833;1716;1.373;0.812;29;0;0
157;157;712454058;1099;0.554;0.8;27;618;0
158;158;718759833;1058;1.3;2.429;24;0;0
159;159;718803333;1285;0.971;0.706;29;1954;0
160;160;720253908;1651;1.009;1.0;28;1024;0
161;161;714133158;1152;0.852;0.824;31;1305;0
162;162;713187033;1767;1.248;2.167;38;2071;0
163;163;714791208;1039;0.508;0.263;24;2114;0
164;164;772426383;1130;1.077;1.333;28;1570;0
165;165;710975883;1645;0.682;0.429;30;1761;0
166;166;714264408;1413;0.993;0.706;29;746;0
167;167;715827858;1218;1.456;2.286;23;2173;0
168;168;713741358;597;0.658;0.7;17;2517;1
169;169;709531908;2184;0.776;0.828;53;0;0
170;170;716493408;1592;0.86;1.467;37;1719;0
171;171;714141108;1388;0.567;0.75;28;893;0
172;172;708953883;757;0.713;0.25;20;0;1
173;173;712608783;1504;0.588;0.789;34;1260;0
174;174;820353558;1503;0.644;0.478;34;1434;0
175;175;714964758;1105;0.791;0.867;28;1777;0
176;176;716264358;2398;1.432;0.88;47;1836;0
177;177;717296808;1661;2.053;1.0;32;2517;0
178;178;712977183;1421;0.706;1.444;22;1072;0
179;179;710829108;999;0.35;0.556;28;985;0
180;180;779562633;1387;1.791;0.8;18;2248;0
181;181;715315833;1243;0.948;1.0;24;2107;0
182;182;815500983;1860;1.334;1.0;36;2001;0
183;183;719360583;1502;0.747;1.273;25;1701;0
184;184;709701558;1460;0.949;1.083;50;1251;0
185;185;721148358;1348;0.646;0.286;27;0;0
186;186;779862408;1087;1.161;0.941;33;462;0
187;187;812627208;1226;0.782;0.571;33;738;0
188;188;711033408;1230;0.701;0.867;28;1626;0
189;189;779956608;1555;0.688;0.684;32;0;0
190;190;780376683;1827;1.768;3.0;24;1976;0
191;191;717912483;1376;0.731;0.591;35;0;0
192;192;714454758;1771;0.896;0.762;37;1594;0
193;193;780466533;1873;1.097;0.529;52;1676;0
194;194;715735233;1679;0.971;0.556;42;1598;0
195;195;720476733;1002;0.819;0.571;22;799;0
196;196;715872333;1344;0.829;1.1;21;1998;0
197;197;712375758;1461;1.642;0.75;42;1423;0
198;198;708868233;760;0.743;0.615;21;900;1
199;199;718030083;1428;1.242;1.444;22;1687;0
200;200;720707283;1777;0.869;0.75;42;866;0
201;201;771698658;1302;0.619;0.8;27;2006;0
202;202;748326258;1483;1.509;0.519;41;1632;0
203;203;770817783;1060;0.623;0.5;27;1679;0
204;204;779353083;1330;0.505;0.684;32;1468;0
205;205;711441333;1229;0.504;0.8;27;1580;0
206;206;719808558;886;0.707;0.421;27;0;1
207;207;711551958;844;0.688;0.5;24;0;1
208;208;809164083;1450;1.259;0.947;37;1779;0
209;209;820596183;2311;1.071;0.714;48;2395;0
210;210;715999608;1378;0.93;1.167;26;1649;0
211;211;710565408;1033;1.327;1.364;26;1359;0
212;212;805543158;1523;0.869;1.105;40;2207;0
213;213;709752183;1374;0.615;0.762;37;2517;0
214;214;716479233;1080;0.908;1.333;21;1721;0
215;215;713837058;1234;0.531;0.714;24;1955;0
216;216;718876683;1600;0.638;0.455;32;1168;0
217;217;770746908;1155;0.971;0.882;32;2509;0
218;218;794843883;1353;0.603;0.737;33;1202;0
219;219;803043933;1546;2.368;1.273;25;1835;0
220;220;758076408;1590;0.579;1.263;43;1603;0
221;221;714606558;1448;1.008;1.0;22;1272;0
222;222;778425408;1271;0.569;0.714;24;2295;0
223;223;714171108;1223;0.616;0.538;20;1141;0
224;224;719662458;1117;0.859;1.071;29;679;0
225;225;713137233;994;0.75;0.846;24;1789;0
226;226;769425858;1468;0.81;0.625;26;0;0
227;227;711297483;1658;0.853;0.357;38;2222;0
228;228;788900883;1368;0.604;0.407;38;1304;0
229;229;758348808;1218;0.613;0.8;18;1666;0
230;230;772336458;702;0.838;0.714;12;1025;1
231;231;708711483;1516;1.727;2.0;21;1740;0
232;232;717906783;1310;1.073;1.0;26;1748;0
233;233;719437908;1767;0.921;0.923;50;1644;0
234;234;769433508;933;0.767;0.923;25;1819;0
235;235;790096533;1512;1.207;1.455;27;1301;0
236;236;720997383;829;0.723;0.7;17;1833;1
237;237;787541883;1120;0.483;0.35;27;0;0
238;238;709930758;1506;0.538;0.941;33;1222;0
239;239;789830058;1384;0.621;2.273;36;1585;0
240;240;710299608;817;0.993;0.667;30;2517;1
241;241;710741208;2094;1.148;0.667;25;1475;0
242;242;821797008;815;0.734;0.615;21;0;1
243;243;708874533;510;0.789;0.6;24;0;1
244;244;715341858;1377;0.939;0.69;49;1289;0
245;245;793636308;1193;0.912;0.65;33;1650;0
246;246;713779908;1287;0.343;0.636;36;1666;0
247;247;712125258;701;0.98;0.727;19;0;1
248;248;709703433;1770;1.018;0.923;25;1532;0
249;249;721022433;1409;0.435;0.167;35;2480;0
250;250;710103558;1354;0.868;0.647;28;1486;0
251;251;715952883;1765;1.363;1.615;34;1125;0
252;252;719731458;1192;0.538;0.588;27;709;0
253;253;772390908;687;0.616;0.545;17;1054;1
254;254;787348608;1227;0.581;0.875;15;1495;0
255;255;709485033;1737;0.969;1.6;26;1152;0
256;256;715432608;1348;0.769;1.125;34;953;0
257;257;799471833;1435;0.609;0.462;38;1510;0
258;258;714187533;1321;0.456;0.75;28;849;0
259;259;779656908;1479;0.73;0.611;29;1378;0
260;260;788950158;1283;0.854;1.294;39;1652;0
261;261;778867533;689;1.038;0.353;23;0;1
262;262;710620383;965;0.655;1.125;17;1171;0
263;263;778661358;1541;1.53;1.0;40;2143;0
264;264;789483333;1258;0.707;1.3;23;795;0
265;265;809855808;1339;0.708;0.538;20;1650;0
266;266;718464258;1007;0.701;1.444;22;1082;0
267;267;708528483;1387;0.617;1.357;33;2430;0
268;268;771809733;960;1.021;0.385;18;0;1
269;269;719942883;1119;0.923;3.5;18;1434;0
270;270;807226683;1642;0.549;0.519;41;1115;0
271;271;717806133;1382;0.795;1.067;31;0;0
272;272;720615708;1232;0.814;0.684;32;0;0
273;273;714511758;1542;0.838;1.286;16;1029;0
274;274;715050408;1094;0.826;0.524;32;1576;0
275;275;721132233;1217;0.759;1.143;30;1769;0
276;276;719211558;744;0.898;1.0;18;0;1
277;277;712069008;1614;0.84;0.737;33;1007;0
278;278;715996983;1747;1.302;1.214;31;2481;0
279;279;773466258;1144;0.587;1.0;22;1100;0
280;280;798983508;1575;1.117;2.4;34;1440;0
281;281;719117433;1463;0.859;1.667;24;2168;0
282;282;716451183;1706;1.434;1.625;21;1711;0
283;283;718621608;909;1.129;0.273;14;0;1
284;284;715085733;2434;2.145;1.538;33;1999;0
285;285;788977833;1876;1.015;0.783;41;1274;0
286;286;720272958;1000;0.953;0.786;25;0;1
287;287;708421833;1139;0.771;0.765;30;2517;0
288;288;709173108;799;0.491;0.235;21;2221;1
289;289;709879458;1881;0.89;0.607;45;1376;0
290;290;715120608;1273;0.955;0.588;27;1703;0
291;291;770632758;1328;0.587;0.571;33;1608;0
292;292;779078733;1579;0.631;1.118;36;1682;0
293;293;771742533;937;0.607;0.556;28;1718;0
294;294;720250158;1749;1.178;2.083;37;1814;0
295;295;716458983;1424;1.859;1.417;29;837;0
296;296;713747733;2011;0.799;0.783;41;2217;0
297;297;712270158;1208;0.728;0.632;31;1250;0
298;298;789562383;1259;0.888;1.0;24;583;0
299;299;754897008;1319;0.612;0.368;26;1418;0
300;300;819700533;949;0.804;2.0;27;2303;0
301;301;712890408;1338;0.869;1.308;30;1343;0
302;302;720248208;1554;0.657;0.444;26;1577;0
303;303;779749908;1350;0.722;0.455;32;2061;0
304;304;717401883;1694;0.963;0.76;44;1130;0
305;305;721509558;1678;0.816;0.538;40;1707;0
306;306;710572458;2069;0.742;0.536;43;0;0
307;307;714576183;1222;0.776;0.438;23;2030;0
308;308;721425558;1536;0.788;0.423;37;0;0
309;309;711109908;1400;0.697;2.1;31;2475;0
310;310;715203108;1050;0.885;1.154;28;930;0
311;311;710027508;1389;0.984;1.2;33;1047;0
312;312;787464408;1184;0.656;0.611;29;0;0
313;313;783542133;2093;1.32;1.0;42;2223;0
314;314;708330858;678;0.798;0.833;11;1381;1
315;315;714426783;1467;1.084;1.417;29;2154;0
316;316;712701333;1219;0.374;0.5;27;2169;0
317;317;709494483;1730;1.256;0.565;36;1912;0
318;318;773373108;1025;0.541;0.647;28;2070;0
319;319;715812258;1165;0.645;0.833;33;1539;0
320;320;778286433;2133;1.012;0.719;55;1297;0
321;321;789270033;1122;0.448;0.182;13;0;0
322;322;711569433;1083;0.549;1.75;22;1926;0
323;323;720214833;1234;1.32;1.875;23;2177;0
324;324;709346133;1277;1.252;1.875;23;2376;0
325;325;788194458;1843;0.952;0.944;35;2517;0
326;326;720779733;1747;0.685;0.581;49;1355;0
327;327;717424458;1166;0.617;1.444;22;1823;0
328;328;708820308;1326;0.627;0.824;31;2505;0
329;329;710558058;1619;0.944;1.0;36;2517;0
330;330;770590758;1285;0.581;0.333;16;1069;0
331;331;718490658;1142;0.816;1.0;28;2242;0
332;332;711985833;1190;0.574;0.643;46;1605;0
333;333;708967608;1052;1.051;0.714;24;1785;0
334;334;718505958;1628;0.771;0.727;38;1699;0
335;335;715024233;1740;0.986;0.882;32;1844;0
336;336;779249583;1378;1.707;0.812;29;2462;0
337;337;709278258;996;0.821;0.444;26;2517;1
338;338;778928283;1389;1.315;0.6;32;2321;0
339;339;712299858;1365;1.031;1.0;38;1571;0
340;340;799224108;1715;1.027;0.87;43;1942;0
341;341;809976033;1582;0.827;0.786;25;1560;0
342;342;716203308;1220;0.62;0.692;22;1692;0
343;343;714871683;715;0.819;0.182;13;537;1
344;344;716139933;2552;1.223;1.227;49;1710;0
345;345;716984658;1106;0.507;0.938;31;0;0
346;346;713086008;1731;1.269;1.833;34;2439;0
347;347;713773458;1435;0.541;0.6;32;1173;0
348;348;719242533;1882;0.994;0.652;38;2517;0
349;349;772712658;2058;1.227;0.789;34;1648;0
350;350;788868858;1658;1.019;1.462;32;2517;0
351;351;811898133;1334;1.049;0.6;32;2117;0
352;352;788808633;1441;0.751;0.812;29;1090;0
353;353;779804208;1371;0.939;1.167;39;0;0
354;354;781391058;1991;0.683;0.583;38;1375;0
355;355;790134408;1278;1.166;1.444;22;755;0
356;356;788853258;1734;0.797;1.167;39;1503;0
357;357;711857733;1330;0.703;1.125;34;2517;0
358;358;822969858;1787;1.503;0.722;31;1465;0
359;359;719554758;1672;0.837;0.524;32;2165;0
360;360;711643458;1439;1.068;1.05;41;0;0
361;361;788830683;1558;1.284;0.938;31;2031;0
362;362;807030858;1795;0.788;0.679;47;2274;0
363;363;793059108;893;0.431;0.375;22;1440;0
364;364;716568708;1099;0.844;0.588;27;0;0
365;365;828281733;1408;0.762;1.091;23;848;0
366;366;717229158;1893;0.999;2.75;15;969;0
367;367;715915458;1151;1.052;1.385;31;1644;0
368;368;819129858;1519;0.93;0.938;31;1270;0
369;369;713441958;1245;0.572;0.786;25;1785;0
370;370;719091333;1102;0.685;0.286;27;793;0
371;371;708666258;1402;0.566;0.737;33;1799;0
372;372;714914583;1060;0.974;1.308;30;1521;0
373;373;714363858;1459;0.817;1.188;35;1411;0
374;374;721347408;1456;0.886;0.444;39;1403;0
375;375;809608533;1439;0.921;1.0;48;1586;0
376;376;772047183;1353;0.828;1.182;24;1766;0
377;377;714217908;1173;0.751;0.391;32;1560;0
378;378;714819183;1746;1.174;1.0;28;1955;0
379;379;716455683;1279;0.556;0.867;28;726;0
380;380;710865633;1307;0.484;0.261;29;2250;0
381;381;752952108;1473;0.711;1.176;37;1818;0
382;382;712595433;1805;0.778;0.762;37;1794;0
383;383;714982383;1421;0.996;1.3;23;2381;0
384;384;813814008;1272;0.728;1.312;37;1576;0
385;385;794545983;1409;0.616;0.619;34;1980;0
386;386;708288108;647;1.087;0.364;15;1547;1
387;387;715585158;1275;0.578;0.667;25;1617;0
388;388;810449883;1270;0.794;0.588;27;1915;0
389;389;789863208;1702;0.979;0.947;37;1480;0
390;390;715022133;1256;0.644;1.0;26;1162;0
391;391;712506708;3178;0.944;0.656;53;2008;0
392;392;715699983;1626;1.521;1.636;29;1233;0
393;393;818942433;1562;0.597;0.5;33;1288;0
394;394;712459233;1960;1.052;0.727;57;1346;0
395;395;716545383;1154;1.087;1.235;38;1554;0
396;396;721144383;1629;0.637;0.727;38;843;0
397;397;821837958;1226;0.693;0.923;25;1662;0
398;398;804359133;1743;1.095;0.929;27;2233;0
399;399;713308683;1139;0.791;0.444;39;1306;0
400;400;788780958;1073;0.638;0.4;21;1253;0
401;401;717354558;683;1.045;0.7;17;1120;1
402;402;798473808;1159;0.511;0.684;32;0;0
403;403;712372158;1859;0.986;0.958;47;2086;0
404;404;715192308;1205;0.648;0.867;28;2094;0
405;405;708813033;1409;0.83;0.37;37;2033;0
406;406;714639783;1000;0.742;0.059;18;0;1
407;407;709311633;1209;0.61;0.3;39;0;0
408;408;709470858;1366;0.869;0.786;25;1254;0
409;409;717292758;1161;0.466;0.375;44;0;0
410;410;779241783;1512;0.781;0.407;38;1675;0
411;411;715205358;1750;1.059;1.333;35;913;0
412;412;778871508;1170;1.139;0.846;24;1954;0
413;413;779462433;2218;1.081;0.613;50;968;0
414;414;710147958;1198;1.01;0.833;33;1249;0
415;415;709864833;1329;0.637;0.444;26;1965;0
416;416;778868958;857;0.835;1.118;36;1673;1
417;417;717276708;1470;0.589;1.143;30;2517;0
418;418;710004933;1435;0.708;1.778;25;1454;0
419;419;753606108;1093;0.503;0.833;22;0;0
420;420;710940183;715;0.727;0.818;20;0;1
421;421;718927533;1512;0.912;0.909;42;2517;0
422;422;719337408;2399;1.636;0.955;43;0;0
423;423;772308408;906;0.543;1.2;22;785;0
424;424;712981383;1052;0.75;1.286;16;1930;0
425;425;790099758;975;0.786;0.833;11;1001;0
426;426;709547658;783;0.842;0.667;20;1299;1
427;427;778770783;990;0.781;0.909;21;1916;0
428;428;713134458;1097;0.576;0.5;24;0;0
429;429;712159083;901;0.917;0.522;35;0;1
430;430;713639958;1327;0.64;0.864;41;820;0
431;431;771180033;1814;2.023;0.722;31;1851;0
432;432;717916758;1365;0.777;1.429;34;2388;0
433;433;711089733;1058;0.876;0.889;34;0;0
434;434;716988633;1476;0.785;0.9;38;0;0
435;435;779031033;1230;0.747;0.565;36;1627;0
436;436;716302383;1581;0.909;0.833;44;2081;0
437;437;718281408;1534;1.134;0.933;29;1257;0
438;438;721333233;1612;0.693;1.438;39;1727;0
439;439;794496033;1302;0.674;0.636;36;2280;0
440;440;710519433;1439;0.602;0.481;40;2517;0
441;441;814995933;1724;0.564;0.452;45;1794;0
442;442;721469433;1784;1.205;0.944;35;1390;0
443;443;788386908;1156;0.862;1.071;29;1531;0
444;444;717198633;2556;1.322;1.13;49;1469;0
445;445;767695083;1590;0.845;0.37;37;0;0
446;446;711791583;884;1.005;0.727;19;0;1
447;447;712315683;973;1.019;0.923;25;1518;1
448;448;710038008;1447;0.741;0.875;30;0;0
449;449;789129033;1150;0.772;0.625;26;877;0
450;450;718349058;1193;0.512;0.615;21;1143;0
451;451;789842283;706;0.967;0.5;21;0;1
452;452;714513033;1257;0.563;0.643;23;0;0
453;453;714717483;1303;0.913;0.75;35;0;0
454;454;714900408;1306;0.67;0.5;39;0;0
455;455;719418933;748;0.659;0.429;20;0;1
456;456;720115683;1774;0.674;2.0;42;1565;0
457;457;779504058;1209;0.863;1.5;25;1910;0
458;458;795979833;1074;0.67;0.632;31;1074;0
459;459;717392358;1786;0.79;0.786;50;1078;0
460;460;718640508;1456;0.74;0.714;36;1611;0
461;461;803366358;1300;0.898;1.083;25;2192;0
462;462;709230708;1470;0.491;0.235;42;1654;0
463;463;781794708;715;0.528;0.562;25;1911;1
464;464;801383808;1198;1.326;1.0;24;839;0
465;465;710677608;1556;0.957;1.048;43;1208;0
466;466;708217758;1606;2.271;1.5;30;2061;0
467;467;714272658;929;1.046;0.409;31;2517;1
468;468;717469158;1606;0.565;0.421;54;1385;0
469;469;711864783;1199;0.675;0.6;32;1138;0
470;470;719407983;2400;1.362;0.622;60;1483;0
471;471;710665533;1337;0.588;0.76;44;1660;0
472;472;716804283;1270;0.954;0.833;33;896;0
473;473;767294658;654;0.885;0.4;14;0;1
474;474;709122483;1909;0.942;0.688;54;1526;0
475;475;708241233;922;1.035;0.562;25;0;1
476;476;717860358;1158;0.542;0.355;42;2235;0
477;477;789337233;1323;0.89;0.444;26;2362;0
478;478;720902133;1025;0.481;0.667;35;0;0
479;479;721043058;1700;0.801;1.5;35;2149;0
480;480;711870333;1628;0.858;1.217;51;1597;0
481;481;708398283;1377;1.04;0.684;32;885;0
482;482;715878183;1517;0.815;0.65;33;723;0
483;483;719451483;1528;0.783;1.083;25;1972;0
484;484;709110633;1329;0.715;0.6;24;1748;0
485;485;721059033;1505;0.965;0.737;33;774;0
486;486;779912283;1172;0.96;0.462;38;1713;0
487;487;717701733;1646;1.16;1.294;39;2098;0
488;488;709913733;1693;1.26;1.286;32;1529;0
489;489;718768158;1336;0.781;0.211;23;0;0
490;490;721375308;1289;0.759;0.727;19;1351;0
491;491;711374283;1416;0.505;0.778;32;1923;0
492;492;822893133;1608;0.94;1.2;33;0;0
493;493;778465533;1885;0.75;0.545;51;0;0
494;494;712138983;1744;0.76;0.606;53;2216;0
495;495;716920908;1922;1.519;0.655;48;1112;0
496;496;708095133;1448;0.428;0.381;29;1833;0
497;497;711195558;1300;0.591;0.8;36;1603;0
498;498;772735758;1366;0.387;0.632;31;1895;0
499;499;712024908;1439;0.891;1.053;39;1257;0
500;500;778239933;1241;0.583;0.643;46;2043;0
501;501;714893733;1917;1.566;0.941;33;809;0
502;502;754886958;1391;0.696;0.625;39;1672;0
503;503;710104908;1246;0.938;0.824;31;2517;0
504;504;710558883;1248;1.08;0.688;27;1044;0
505;505;713827383;1936;0.665;1.316;44;2493;0
506;506;720267033;2375;1.06;0.575;63;1786;0
507;507;712049208;1238;0.484;1.083;25;2517;0
508;508;708688608;1626;1.346;0.864;41;1985;0
509;509;716223708;791;0.731;0.833;22;710;1
510;510;713217858;1204;0.479;0.333;28;0;0
511;511;819352983;1300;0.691;0.5;33;2008;0
512;512;711019308;1612;1.138;0.88;47;1535;0
513;513;768600558;1071;0.638;1.0;28;1658;0
514;514;710202783;1378;0.68;0.762;37;1721;0
515;515;712899333;1100;0.63;0.381;29;1084;0
516;516;767036433;2052;0.94;0.607;45;1152;0
517;517;793473033;1349;0.949;1.357;33;2517;0
518;518;721232058;1215;0.893;0.714;36;977;0
519;519;719443683;1149;1.048;0.562;25;2137;1
520;520;715449333;2354;1.142;0.786;50;1540;0
521;521;717998058;2644;0.525;0.481;40;2019;0
522;522;779610033;918;1.022;0.556;14;1799;1
523;523;827332983;1362;0.618;1.214;31;2113;0
524;524;721183983;1222;0.575;0.85;37;1013;0
525;525;718426533;1364;0.62;0.684;32;0;0
526;526;710698233;1463;0.93;1.0;40;1203;0
527;527;780253533;1631;1.265;0.824;31;2318;0
528;528;793581933;1878;0.802;0.41;55;1513;0
529;529;719229708;1489;0.591;0.455;32;838;0
530;530;715158483;1437;1.167;0.609;37;1603;0
531;531;809296308;1313;0.755;0.609;37;2332;0
532;532;778176108;1290;0.722;0.462;38;1412;0
533;533;796532958;1975;1.391;1.579;49;1124;0
534;534;709345008;807;0.644;0.692;22;0;1
535;535;717049533;1438;0.512;0.556;28;1466;0
536;536;719366358;1233;0.701;0.611;29;1692;0
537;537;721417233;709;0.676;0.421;27;0;1
